w_ch1;w_ch2;w_ch3
5,97E+01;-8,24E+00;0.4730225
6,06E+01;-3,20E+00;0.5493164
5,81E+01;7,63E+00;0.4730225
5,83E+01;4,88E+00;0.4730225
6,29E+01;2,30E+01;0.5645752
6,39E+01;2,20E+01;0.6713867
6,27E+01;1,65E+01;0.50354
6,23E+01;8,70E-01;0.6561279
6,29E+01;1,05E+01;0.579834
6,39E+01;9,92E+00;0.6408691
6,52E+01;1,17E+01;0.7476807
6,52E+01;1,46E+01;0.5187988
6,79E+01;1,89E+00;0.5950928
6,20E+01;2,76E+01;0.5187988
6,16E+01;3,14E+00;0.50354
6,32E+01;3,25E+01;0.5340576
5,95E+01;2,24E+01;0.579834
5,98E+01;9,61E+00;0.6103516
6,10E+01;4,12E+00;0.50354
6,13E+01;-3,51E+00;0.6103516
6,07E+01;-7,63E-01;0.6866455
6,45E+01;2,29E+00;0.4577637
6,52E+01;-8,09E+00;0.579834
6,58E+01;-1,22E+01;0.7324219
6,35E+01;-6,87E+00;0.6561279
6,65E+01;2,14E-01;0.6103516
6,58E+01;9,31E+00;0.6408691
6,47E+01;9,61E+00;0.6256104
6,48E+01;1,11E+01;0.6408691
6,23E+01;1,04E+01;0.6866455
6,55E+00;2,59E+00;0.7019043
6,42E+00;1,22E+00;0.50354
5,97E+01;4,58E+00;0.6256104
6,23E+01;9,00E+00;0.4882812
6,38E+01;7,32E+00;0.4882812
6,24E+01;1,53E-01;0.6103516
5,86E+01;-2,29E+00;0.5493164
6,79E+01;1,07E+00;0.5187988
7,14E+01;5,04E+00;0.4577637
6,87E+01;2,55E+01;0.6713867
6,81E+00;3,72E+01;0.6561279
6,79E+01;3,85E+01;0.6408691
6,79E+01;3,10E+01;0.5493164
7,42E+01;2,62E+01;0.6408691
8,00E+01;1,05E+01;0.5645752
7,75E+01;-9,16E+00;0.6713867
7,61E+01;-7,78E+00;0.7019043
7,58E+01;-3,66E+00;0.5645752
7,57E+01;-1,68E+00;0.579834
7,75E+01;3,05E+00;0.7019043
7,51E+01;6,56E+00;0.5493164
7,74E+01;7,32E+00;0.5950928
7,29E+01;1,77E+01;0.6408691
7,49E+01;2,30E+01;0.6866455
7,16E+01;1,72E+01;0.6561279
7,22E+01;4,43E+00;0.5493164
6,96E+01;-3,36E+00;0.6256104
6,59E+01;7,63E+00;0.4425049
6,55E+00;1,36E+01;0.579834
5,95E+01;2,75E+01;0.5340576
5,75E+01;1,13E+00;0.6713867
6,06E+01;-9,16E-01;0.6408691
6,77E+01;5,34E+00;0.7019043
6,32E+01;6,10E+00;0.50354
6,26E+01;5,95E+00;0.7019043
6,33E+01;2,41E+01;0.579834
7,03E+01;1,19E+01;0.6103516
7,48E+01;1,69E+01;0.5645752
7,49E+01;1,91E+01;0.7324219
7,29E+01;1,89E+00;0.5950928
